university,ranking
Harvard University,100.0
Stanford University,73.1
Massachusetts Institute of Technology (MIT),59.1
University of Cambridge,67.2
"University of California, Berkeley",57.1
University of Oxford,77.1
Princeton University,42.3
California Institute of Technology,41.0
Columbia University,67.0
University of Chicago,53.0
Yale University,65.2
Cornell University,63.9
Paris-Saclay University,65.7
University of Pennsylvania,68.5
"University of California, Los Angeles",67.2
University College London,78.5
Johns Hopkins University,74.6
"University of California, San Diego",60.8
University of Washington,71.4
"University of California, San Francisco",60.1
ETH Zurich,54.6
Tsinghua University,86.2
Washington University in St. Louis,53.2
Peking University,89.2
Imperial College London,63.7
University of Toronto,82.0
Zhejiang University,99.5
The University of Tokyo,68.6
Rockefeller University,16.0
University of Michigan-Ann Arbor,74.0
New York University,56.5
University of Copenhagen,66.4
Northwestern University,57.6
PSL University,52.6
University of North Carolina at Chapel Hill,59.8
University of Wisconsin - Madison,59.9
The University of Melbourne,72.0
Shanghai Jiao Tong University,95.7
Duke University,60.1
The University of Edinburgh,55.2
Sorbonne University,61.4
University of Science and Technology of China,76.1
Karolinska Institute,56.0
University of Munich,55.2
Kyoto University,55.2
The University of Texas at Austin,55.6
Technical University of Munich,55.3
University of British Columbia,65.5
"University of Minnesota, Twin Cities",60.5
Fudan University,80.5
Heidelberg University,53.6
The University of Manchester,57.3
King's College London,57.5
The University of Texas Southwestern Medical Center at Dallas,39.9
Swiss Federal Institute of Technology Lausanne,39.8
University of Illinois at Urbana-Champaign,51.9
Utrecht University,57.3
University of Geneva,43.2
"University of Maryland, College Park",48.5
Université Paris Cité,59.5
University of Bonn,41.8
University of Southern California,53.3
The University of Queensland,63.6
"University of California, Santa Barbara",34.5
University of Colorado at Boulder,43.8
Vanderbilt University,51.3
University of Zurich,54.5
National University of Singapore,63.1
The University of Hong Kong,56.5
University of Groningen,54.4
Weizmann Institute of Science,26.3
Sun Yat-sen University,85.9
University of Oslo,54.4
McGill University,58.7
University of Sydney,66.4
"University of California, Irvine",46.4
The University of New South Wales,63.3
KU Leuven,59.8
Huazhong University of Science and Technology,79.1
Aarhus University,55.7
The Hebrew University of Jerusalem,43.2
Monash University,67.9
Nanjing University,66.8
The Ohio State University - Columbus,62.7
Technion-Israel Institute of Technology,34.9
Seoul National University,68.4
The University of Texas M. D. Anderson Cancer Center,36.9
Uppsala University,49.9
Wuhan University,72.5
Ghent University,55.5
King Saud University,73.0
Nanyang Technological University,53.9
University of Pittsburgh,58.0
Central South University,81.6
University of Basel,40.1
Xi'an Jiaotong University,77.4
University of Bristol,46.0
Sichuan University,81.0
University of Helsinki,51.8
Purdue University - West Lafayette,49.3
Aix Marseille University,52.3
Beijing Institute of Technology,59.3
Boston University,51.4
Brown University,44.8
Carnegie Mellon University,31.5
City University of Hong Kong,50.1
Emory University,53.7
Erasmus University Rotterdam,51.4
Harbin Institute of Technology,74.1
Jilin University,65.9
Leiden University,52.0
Lund University,51.6
Mayo Clinic College of Medicine and Science,48.5
McMaster University,45.1
Moscow State University,49.5
Icahn School of Medicine at Mount Sinai,42.5
Nagoya University,43.7
Northwestern Polytechnical University,58.5
Pennsylvania State University - University Park,47.9
Radboud University Nijmegen,48.5
Rice University,28.7
"Rutgers, The State University of New Jersey - New Brunswick",43.1
Sapienza University of Rome,53.1
Shandong University,74.6
South China University of Technology,61.7
Southern University of Science and Technology,49.2
Southeast University,71.6
Stockholm University,40.5
The Australian National University,43.5
The Chinese University of Hong Kong,56.7
The University of Glasgow,45.2
The University of Western Australia,46.4
Tianjin University,67.4
Université Grenoble Alpes,45.9
Université libre de Bruxelles (ULB),33.6
University of Alberta,54.9
University of Amsterdam,54.1
University of Bern,47.0
"University of California, Davis",54.1
University of Florida,62.9
University of Freiburg,38.8
University of Gothenburg,44.7
University of Lausanne,37.2
University of Liverpool,46.6
University of Nottingham,45.2
University of Sao Paulo,70.7
University of Strasbourg,35.4
University of Utah,50.7
University of Vienna,40.0
University of Warwick,41.0
Arizona State University,43.3
Beihang University,57.1
Beijing Normal University,57.9
