category,sub-category,university,ranking
Natural Sciences,Mathematics,Princeton University,56.4
Natural Sciences,Mathematics,Paris-Saclay University,71.1
Natural Sciences,Mathematics,University of Oxford,65.5
Natural Sciences,Mathematics,Massachusetts Institute of Technology (MIT),62.3
Natural Sciences,Mathematics,The University of Texas at Austin,47.9
Natural Sciences,Mathematics,Université Paris Cité,100.0
Natural Sciences,Mathematics,ETH Zurich,60.1
Natural Sciences,Mathematics,University of Chicago,44.7
Natural Sciences,Mathematics,University of Cambridge,50.0
Natural Sciences,Mathematics,Stanford University,46.5
Natural Sciences,Mathematics,Sorbonne University,79.4
Natural Sciences,Mathematics,New York University,46.7
Natural Sciences,Mathematics,University of Toronto,48.0
Natural Sciences,Mathematics,The Hebrew University of Jerusalem,33.5
Natural Sciences,Mathematics,Harvard University,41.1
Natural Sciences,Mathematics,Stony Brook University,33.2
Natural Sciences,Mathematics,Swiss Federal Institute of Technology Lausanne,44.9
Natural Sciences,Mathematics,Imperial College London,53.1
Natural Sciences,Mathematics,Columbia University,47.8
Natural Sciences,Mathematics,"University of California, Berkeley",50.6
Natural Sciences,Mathematics,"University of California, Los Angeles",47.0
Natural Sciences,Mathematics,Yale University,32.7
Natural Sciences,Mathematics,Brown University,46.5
Natural Sciences,Mathematics,"Rutgers, The State University of New Jersey - New Brunswick",46.0
Natural Sciences,Mathematics,Duke University,33.9
Natural Sciences,Mathematics,University of Warwick,44.9
Natural Sciences,Mathematics,University of Wisconsin - Madison,46.9
Natural Sciences,Mathematics,University of Geneva,27.8
Natural Sciences,Mathematics,California Institute of Technology,36.9
Natural Sciences,Mathematics,PSL University,52.2
Natural Sciences,Mathematics,University of Vienna,59.0
Natural Sciences,Mathematics,"University of Maryland, College Park",41.8
Natural Sciences,Mathematics,Kyoto University,46.0
Natural Sciences,Mathematics,Peking University,66.3
Natural Sciences,Mathematics,Northwestern University,37.2
Natural Sciences,Mathematics,The University of Tokyo,51.3
Natural Sciences,Mathematics,The University of Edinburgh,45.8
Natural Sciences,Mathematics,University of Bonn,47.6
Natural Sciences,Mathematics,King Abdulaziz University,93.9
Natural Sciences,Mathematics,Fudan University,65.3
Natural Sciences,Mathematics,Tsinghua University,64.8
Natural Sciences,Mathematics,University of Zurich,33.4
Natural Sciences,Mathematics,KTH Royal Institute of Technology,39.9
Natural Sciences,Mathematics,Uppsala University,34.7
Natural Sciences,Mathematics,Tel Aviv University,43.8
Natural Sciences,Mathematics,Weizmann Institute of Science,32.0
Natural Sciences,Mathematics,University of Michigan-Ann Arbor,49.3
Natural Sciences,Mathematics,University of Southern California,32.1
Natural Sciences,Mathematics,University of Florida,34.0
Natural Sciences,Mathematics,University of British Columbia,48.0
Natural Sciences,Mathematics,Ecole Normale Superieure - Lyon,31.4
Natural Sciences,Mathematics,Georgia Institute of Technology,52.7
Natural Sciences,Mathematics,Humboldt University of Berlin,39.5
Natural Sciences,Mathematics,Institut Polytechnique de Paris,50.6
Natural Sciences,Mathematics,KU Leuven,41.8
Natural Sciences,Mathematics,Pennsylvania State University - University Park,45.2
Natural Sciences,Mathematics,Purdue University - West Lafayette,51.9
Natural Sciences,Mathematics,Scuola Normale Superiore - Pisa,31.7
Natural Sciences,Mathematics,Shanghai Jiao Tong University,67.8
Natural Sciences,Mathematics,Southern University of Science and Technology,40.3
Natural Sciences,Mathematics,Technical University Darmstadt,34.0
Natural Sciences,Mathematics,Technical University of Berlin,45.7
Natural Sciences,Mathematics,Texas A&M University,50.0
Natural Sciences,Mathematics,Université Grenoble Alpes,45.2
Natural Sciences,Mathematics,University College London,43.4
Natural Sciences,Mathematics,"University of California, San Diego",45.5
Natural Sciences,Mathematics,University of Granada,58.7
Natural Sciences,Mathematics,University of Illinois at Urbana-Champaign,43.5
Natural Sciences,Mathematics,University of Lille,44.1
Natural Sciences,Mathematics,University of Science and Technology of China,57.5
Natural Sciences,Mathematics,University of Sydney,35.8
Natural Sciences,Mathematics,University of Washington,42.8
Natural Sciences,Mathematics,University of Waterloo,43.3
Natural Sciences,Mathematics,Zhejiang Normal University,59.5
Natural Sciences,Mathematics,Zhejiang University,51.2
Natural Sciences,Mathematics,Aix Marseille University,45.7
Natural Sciences,Mathematics,Autonomous University of Barcelona,44.0
Natural Sciences,Mathematics,Babeș-Bolyai University,43.2
Natural Sciences,Mathematics,Central South University,72.3
Natural Sciences,Mathematics,Claude Bernard University Lyon 1,46.3
Natural Sciences,Mathematics,Complutense University of Madrid,52.3
Natural Sciences,Mathematics,HSE University,53.3
Natural Sciences,Mathematics,Johns Hopkins University,38.0
Natural Sciences,Mathematics,Moscow State University,49.2
Natural Sciences,Mathematics,National University of Singapore,43.5
Natural Sciences,Mathematics,Saint Petersburg State University,45.1
Natural Sciences,Mathematics,Sapienza University of Rome,55.0
Natural Sciences,Mathematics,Sichuan University,57.4
Natural Sciences,Mathematics,Technion-Israel Institute of Technology,43.5
Natural Sciences,Mathematics,University of Alberta,44.9
Natural Sciences,Mathematics,University of Barcelona,37.0
Natural Sciences,Mathematics,University of Bordeaux,43.7
Natural Sciences,Mathematics,University of Connecticut,33.2
Natural Sciences,Mathematics,University of Illinois at Chicago,31.3
Natural Sciences,Mathematics,"University of Minnesota, Twin Cities",43.8
Natural Sciences,Mathematics,University of Muenster,37.9
Natural Sciences,Mathematics,University of Notre Dame,34.8
Natural Sciences,Mathematics,University of Pisa,43.4
Natural Sciences,Mathematics,University of Regensburg,29.6
Natural Sciences,Mathematics,University of Utah,32.4
Natural Sciences,Mathematics,Aarhus University,22.6
Natural Sciences,Mathematics,Autonomous University of Madrid,42.4
Natural Sciences,Mathematics,Bielefeld University,39.0
