university,ranking
Deakin University,100.0
Norwegian School of Sport Sciences,55.1
University of Copenhagen,63.9
University of Verona,93.2
University of Southern Denmark,62.5
Vrije Universiteit Amsterdam,90.8
Victoria University,74.9
La Trobe University,74.1
Loughborough University,77.5
Norwegian University of Science and Technology - NTNU,44.5
Anglia Ruskin University,31.2
University of Granada,68.2
Curtin University,27.7
Ghent University,28.2
University of Jyvaskyla,60.6
Technical University of Munich,62.9
The University of Queensland,58.7
University College Dublin,36.4
University of British Columbia,56.6
Queensland University of Technology,26.6
The University of Calgary,60.2
Liverpool John Moores University,48.1
Federal University of Santa Catarina,20.2
Griffith University,14.3
European University of Madrid,37.7
University of Cape Town,21.1
University of Birmingham,51.2
University of Victoria,13.9
Shanghai University of Sport,87.0
University of Bristol,9.8
University of Sydney,11.9
University of Pittsburgh,16.4
German Sport University Cologne,65.3
University of South Carolina - Columbia,36.0
Laval University,9.6
Universidad de Las Palmas de Gran Canaria,2.8
University of Alberta,33.5
University of Illinois at Urbana-Champaign,41.9
"The University of Newcastle, Australia",23.4
The University of Western Australia,21.2
University of Illinois at Chicago,19.8
The University of Melbourne,13.1
University of Tuebingen,7.2
University of Muenster,8.5
Finis Terrae University,5.9
Queen's University,22.0
University of Sao Paulo,48.8
Vrije Universiteit Brussel (VUB),26.6
Florida State University,10.3
AUT University,31.9
Aarhus University,6.3
Australian Catholic University,4.9
Catholic University of the Most Holy Conception,2.7
Coventry University,19.6
Durham University,8.5
Georgia Southern University,7.9
Hong Kong Baptist University,20.2
Iowa State University,12.6
KU Leuven,33.6
Leeds Beckett University,31.8
Maastricht University,24.3
McMaster University,19.5
Nanyang Technological University,14.2
Northeastern University (Boston),10.9
Northumbria University,23.7
Nottingham Trent University,10.2
Queen Mary University of London,20.8
Saarland University,7.1
Simon Fraser University,18.7
Temple University,12.0
The Chinese University of Hong Kong,12.0
University College London,14.3
University of Agder,20.1
University of Arkansas at Fayetteville,17.2
University of Basel,25.0
University of Canberra,24.0
University of Exeter,25.2
University of Extremadura,41.0
University of Florida,31.2
University of Gothenburg,9.6
University of Groningen,25.5
University of Kent,6.0
University of KwaZulu-Natal,4.2
University of Limerick,23.6
University of Los Lagos,7.8
University of Murcia,35.5
University of North Carolina at Chapel Hill,34.9
University of Ottawa,37.1
University of Porto,46.0
University of Potsdam,8.1
University of Pretoria,6.0
University of Sfax,17.4
University of South Australia,27.8
University of Toronto,38.0
University of Tsukuba,37.3
University of Waterloo,32.8
University of Winchester,3.6
Waseda University,44.4
York St John University,2.7
York University,30.9
Autonomous University of Madrid,7.7
Beijing Sport University,58.9
Boston University,5.8
Cardiff Metropolitan University,25.0
Edith Cowan University,17.1
ETH Zurich,6.8
